id,title,status,created
T-0115,"Add end-to-end QA harness using a temporary git repo to validate the task state machine and final git behavior",done,2026-04-02
T-0116,"Split PM into planner and reviewer roles with distinct prompts and stage ownership",done,2026-04-02
T-0117,"Add quota and usage monitoring across engines with official provider integrations where available and local fallback tracking elsewhere",done,2026-04-02
T-0118,"Add OpenAI/Codex quota monitoring integration",done,2026-04-02
T-0119,"Add Anthropic/Claude quota monitoring integration",done,2026-04-02
T-0120,"Add Z.AI/OpenCode quota monitoring integration",done,2026-04-02
T-0121,"Add Gemini quota monitoring integration",done,2026-04-02
T-0122,"Add Copilot quota monitoring integration",done,2026-04-02
T-0123,"Add structured continuation handoff for engine switches, retries, and restarts",done,2026-04-02
T-0124,"Add layered global and local config with local overrides over ~/.config/litehive/config.yaml defaults",done,2026-04-02
T-0125,"Detect stale subagent processes and recover tasks at the same stage automatically",done,2026-04-02
T-0126,"Split oversized tests into multiple focused test files",done,2026-04-02
T-0127,"Separate tracked config/state from untracked runtime logs and sessions",done,2026-04-03
T-0128,"Add CLI support for rich structured task shaping and updates",done,2026-04-03
T-0130,"Redesign the state machine for parallel task execution, integration, and merge-conflict recovery",done,2026-04-03
T-0131,"Normalize legacy queued/interrupted/flagged tasks through planner before retry",done,2026-04-03
T-0132,"Add bounded stage retry routing to recovery/planner to stop task churn",done,2026-04-03
T-0133,"Add early commit/worktree preflight before late-stage completion",done,2026-04-03
T-0134,"Add CLI command for quick workspace engine switching",done,2026-04-03
T-0135,"Launch a diagnostic recovery agent that investigates failures and returns tasks to runnable state",done,2026-04-03
T-0138,"Kill stale subagent processes after 5 minutes of no output and switch to fallback engine",done,2026-04-04
T-0139,"Add litehive switch command to kill running agent and switch task engine in one step",done,2026-04-04
T-0140,"Add self-healing recovery for litehive's own bugs when orchestrating external projects",done,2026-04-04
T-0141,"Move real engine binary tests to tests_integration folder",done,2026-04-04
T-0142,"Replace bash run-all wrapper with litehive daemon command",done,2026-04-04
T-0144,"Write comprehensive documentation for litehive in docs/",done,2026-04-04
T-0145,"Design and implement cross-project contribution protocol for litehive",done,2026-04-04
T-0146,"Test goz engine integration",done,2026-04-04
T-0147,"Create integration test suite in tests_integration/ for all engines",done,2026-04-04
T-0148,"Update context.md with current project state and commands",done,2026-04-04
T-0149,"Support agent prompts as markdown files in .litehive/agents/",done,2026-04-04
T-0150,"Add task archival: move done tasks to tasks/archive/ and support cleanup",done,2026-04-04
T-0151,"Limit task slug to 50 characters",done,2026-04-04
T-0152,"Add acceptance criteria best practices to PM grooming prompt",done,2026-04-04
T-0153,"Remove from __future__ import annotations from all files",done,2026-04-04
T-0154,"Delete workflow_verification.py dead code",done,2026-04-04
T-0155,"Remove LEGACY_CHECKPOINT_SUBJECT_TEMPLATE from git_ops",done,2026-04-04
T-0156,"Delete shell scripts replaced by litehive daemon",done,2026-04-04
T-0157,"Refactor cli.py into cli/ module with submodules",done,2026-04-04
T-0158,"Refactor config.py into config/ module",done,2026-04-04
T-0161,"Refactor runner.py into runner/ module with explicit state machine",done,2026-04-04
T-0162,"Refactor runtime.py into runtime/ module",done,2026-04-04
T-0163,"Refactor subagents.py into subagents/ module",done,2026-04-04
T-0165,"Merge external_cli.py and sandbox.py into engines/sandbox.py",done,2026-04-04
T-0166,"Merge monitoring and observability into observability/ module",done,2026-04-04
T-0167,"Refactor web app: proper templates, no embedded JS in Python",done,2026-04-04
T-0168,"Refactor daemon.py into daemon/ module using config module for paths",done,2026-04-04
T-0181,"Improve task list CLI: compact output, filters, active-only default",done,2026-04-05
T-0182,"Add --priority flag to litehive add command",done,2026-04-05
T-0183,"Split agent prompt: minimal generic prompt + project-specific context.md",done,2026-04-05
T-0185,"Import GitHub issues as litehive tasks",done,2026-04-05
T-0186,"Reimplement litehive self-heal for external project orchestration",done,2026-04-05
T-0187,"Add specific codex usage limit detector from actual error message",done,2026-04-05
T-0188,"Redesign litehive status as a useful operator dashboard",done,2026-04-05
T-0189,"Always launch recovery agent when a task fails to complete cleanly",done,2026-04-06
T-0190,"Add engine freeze CLI: temporarily disable an engine until a date",done,2026-04-06
T-0191,"Implement proactive codex quota check using chatgpt.com API",done,2026-04-06
T-0193,"Add single-agent pipeline mode for simple tasks",done,2026-04-06
T-0199,"Split engines/__init__.py into engines/adapters/ with one file per adapter",done,2026-04-06
T-0201,"Log engine output parse failures instead of silently skipping",done,2026-04-06
T-0202,"Replace ignore_errors=True rmtree with logged cleanup",done,2026-04-06
T-0204,"Split tasks.py (4672 lines) into tasks/ submodules",done,2026-04-06
T-0205,"Split runtime/_execution.py (1166 lines) into smaller files",done,2026-04-06
T-0206,"Split subagents/_execution.py (1019 lines) into smaller files",done,2026-04-06
T-0207,"Split daemon/__init__.py (451 lines) into daemon/ submodules",done,2026-04-06
T-0208,"Add worktree merge agent tests and merge_failed task status",done,2026-04-07
T-0211,"Add retry limit for merge agent in commit_to_git",done,2026-04-07
T-0213,"Remove files_changed from agent report format - use git as source of truth",done,2026-04-07
T-0214,"Fix web dashboard hanging when runner is active",done,2026-04-07
